,onset,offset,label,onset_sample,offset_sample,length,corrcoeff
86,93.5812,93.669133,1,2807436,2810073,2637,0.8380415069878653
87,95.7603,95.771833,1,2872809,2873154,345,-0.0014849456459304895
88,95.776833,95.8779,1,2873304,2876337,3033,0.7846526724635808
89,96.8457,96.848867,1,2905371,2905466,95,
90,96.8555,96.955267,1,2905665,2908658,2993,0.8549339375794512
91,96.966433,96.970033,1,2908992,2909100,108,-0.38149974719484975
92,97.0066,97.014,1,2910198,2910420,222,0.15270226058390451
93,97.341833,97.345967,1,2920254,2920379,125,
94,97.4283,97.4387,1,2922849,2923161,312,-0.15057008784696957
95,100.194333,100.206333,1,3005829,3006189,360,0.34343764944765387
96,100.213367,100.316033,1,3006401,3009480,3079,0.7497541119587514
97,103.197,103.2015,1,3095910,3096045,135,0.17386658211436906
98,103.210133,103.244967,1,3096303,3097349,1046,0.2811526948045026
99,103.474667,103.488433,1,3104240,3104652,412,0.43504861568842007
100,103.493667,103.4994,1,3104810,3104982,172,0.3943188714051699
101,103.504767,103.518833,1,3105143,3105564,421,-0.015623183117730232
102,103.520633,103.5248,1,3105618,3105744,126,0.05130952214274824
103,103.527867,103.539067,1,3105836,3106172,336,-0.0677466299840171
104,103.7041,103.709767,1,3111123,3111293,170,0.3740925156391252
105,103.710933,103.9578,1,3111327,3118734,7407,0.813580657843481
106,103.978033,103.9858,1,3119340,3119574,234,-0.017638329448264663
107,104.005433,104.009433,1,3120162,3120282,120,
108,104.438367,104.542733,1,3133151,3136281,3130,0.7691994072898403
109,104.866967,104.876767,1,3146009,3146303,294,0.6778121419387736
110,104.8937,104.902567,1,3146811,3147077,266,0.6670220951932964
111,104.9274,104.949933,1,3147822,3148497,675,0.7425152904679219
112,104.976567,105.036367,1,3149297,3151091,1794,0.6655852718395061
113,105.055733,105.059567,1,3151671,3151787,116,0.6093728675010767
114,105.061267,105.090633,1,3151838,3152718,880,0.6802220111260331
115,105.109467,105.1541,1,3153284,3154623,1339,0.64083436339635
116,105.174667,105.179733,1,3155240,3155391,151,0.6617762100261262
117,105.181967,105.197167,1,3155459,3155915,456,0.6997372443883063
118,105.2129,105.224367,1,3156387,3156731,344,0.7710252347954671
119,105.232033,105.2517,1,3156960,3157551,591,0.763985528273094
120,105.613833,105.6215,1,3168414,3168645,231,0.707937927532971
121,105.625533,105.802933,1,3168765,3174087,5322,0.8304587767582062
122,105.819267,105.940133,1,3174578,3178203,3625,0.7735629278119174
123,105.9823,105.988333,1,3179469,3179649,180,0.4853511568479074
124,106.397933,106.403267,1,3191937,3192098,161,0.6170956414066261
125,106.405,106.5613,1,3192150,3196839,4689,0.7610990461365502
126,106.5785,106.606033,1,3197355,3198180,825,0.87073524262772
127,106.6083,106.669633,1,3198249,3200088,1839,0.823281596781574
128,106.6709,106.685133,1,3200127,3200553,426,0.5297293616497746
129,107.061067,107.211467,1,3211832,3216344,4512,0.756157103098227
130,107.213167,107.252033,1,3216395,3217560,1165,0.7222212057712011
131,107.255033,107.3812,1,3217650,3221436,3786,0.7736059683691185
132,107.433933,107.5167,1,3223017,3225501,2484,0.7864346274541424
133,108.0985,108.1823,1,3242955,3245469,2514,0.8266304403631337
134,108.2171,108.224533,1,3246513,3246735,222,0.5371031307244786
135,108.325067,108.3459,1,3249752,3250377,625,0.6072055731264495
136,108.3586,108.4512,1,3250758,3253536,2778,0.8280761105995464
137,108.806467,108.977133,1,3264194,3269313,5119,0.830525201647847
138,108.987667,108.9925,1,3269630,3269775,145,-0.1384644154593571
139,109.4194,109.425133,1,3282582,3282753,171,0.6938037509349978
140,109.445833,109.4531,1,3283374,3283593,219,0.5491751893120501
141,109.454133,109.486067,1,3283623,3284582,959,0.7124324539668985
142,109.520267,109.5383,1,3285608,3286149,541,0.6251043394262508
143,109.5402,109.548833,1,3286206,3286464,258,0.6110785047767945
144,109.550033,109.591233,1,3286500,3287736,1236,0.6931492297752065
145,109.598667,109.6027,1,3287960,3288081,121,0.6247960525957997
146,109.6139,109.6367,1,3288417,3289101,684,0.5761789757506772
147,109.6735,109.676667,1,3290205,3290300,95,-0.05523113598200396
148,109.677967,109.688167,1,3290339,3290645,306,0.3823263833863526
149,109.743733,109.748567,1,3292311,3292457,146,0.8235517021068729
150,109.755233,109.806533,1,3292656,3294195,1539,0.7569951326764175
151,109.808633,109.892167,1,3294258,3296765,2507,0.7249070410176475
152,110.313933,110.370967,1,3309417,3311129,1712,0.8192736915986191
153,110.373467,110.3859,1,3311204,3311577,373,0.6763439731059587
154,110.391033,110.409033,1,3311730,3312270,540,0.757336326954747
